Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000331566894459373,-1.38869584628603E-18,0.0226798732825691,0,0,0,16.6607693249907,0.342900416454384,-0.00791208000000003,-4.11696589312513E-05,0.595999267514538,-2.06655190930544E-17,0.933088946009388,0,0,0,0,0,0,package://agv/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agv/meshes/base_link.STL,,base-3;yatak-1;rod-1;yatak-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
lw_link,1.90819582357449E-17,0,-0.0273880597014926,0,0,0,1.34185276216454,0.00397939442139444,-2.16840434497101E-19,-5.79710388341049E-20,0.00397939442139444,1.23940974937118E-21,0.00747907672941523,0,0,0,0,0,0,package://agv/meshes/lw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/lw_link.STL,,wheel-2,Origin_lw_joint2,Axis_lw_joint2,lw_joint,continuous,0,0.26,0.055,-1.5707963267949,0.273855441267016,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
rw_link,1.1106354187428E-17,0,-0.0273880597014926,0,0,0,1.34185276216454,0.00397939442139445,-3.23472618749719E-35,-1.8026519749501E-21,0.00397939442139445,-1.7985063567581E-35,0.00747907672941523,0,0,0,0,0,0,package://agv/meshes/rw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/rw_link.STL,,wheel-1,Origin_rw_joint2,Axis_rw_joint2,rw_joint,continuous,0,-0.26,0.055,1.5707963267949,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
flc_link,0,-0.0104639072674438,0,0,0,0,0.00737117883440488,1.43643640511466E-06,-9.24994132532978E-23,0,1.26133689808569E-07,3.92477458277648E-23,1.4200125484889E-06,0,0,0,0,0,0,package://agv/meshes/flc_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agv/meshes/flc_link.STL,,supportwheel-1,Origin_flc_joint2,Axis_flc_joint2,flc_joint,continuous,0.325,0.15,0,1.5707963267949,0,0.302678309023654,base_link,0,1,0,,,,,,,,,,,,0
flw_link,-5.55111512312578E-17,0,2.77555756156289E-17,0,0,0,0.00384530940799391,2.51867766223601E-07,-4.58926493494391E-41,-4.63221143029696E-23,2.51867766223601E-07,-4.17990250274816E-40,4.80663675999238E-07,0,0,0,0,0,0,package://agv/meshes/flw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/flw_link.STL,,supwheel-4,Origin_flw_joint,Axis_flw_joint,flw_joint,continuous,0,-0.03,0,3.14159265358979,0,3.14159265358979,flc_link,0,0,1,,,,,,,,,,,,0
frc_link,0,-0.0104639072674438,-5.55111512312578E-17,0,0,0,0.00737117883440488,1.43643640511466E-06,-9.4508637668121E-23,0,1.26133689808569E-07,4.2023419920401E-23,1.4200125484889E-06,0,0,0,0,0,0,package://agv/meshes/frc_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agv/meshes/frc_link.STL,,supportwheel-4,Origin_frc_joint2,Axis_frc_joint2,frc_joint,continuous,0.325,-0.15,0,1.5707963267949,0,0.302678309023654,base_link,0,1,0,,,,,,,,,,,,0
frw_link,0,0,5.55111512312578E-17,0,0,0,0.00384530940799391,2.51867766223601E-07,-4.58926493494544E-41,-4.63221143029696E-23,2.51867766223601E-07,-4.17990250274816E-40,4.80663675999238E-07,0,0,0,0,0,0,package://agv/meshes/frw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/frw_link.STL,,supwheel-1,Origin_frw_joint,Axis_frw_joint,frw_joint,continuous,0,-0.03,0,3.14159265358979,0,3.14159265358979,frc_link,0,0,1,,,,,,,,,,,,0
rlc_link,0,-0.0104639072674438,2.77555756156289E-17,0,0,0,0.0073711788344049,1.43643640511466E-06,-1.01781597610719E-21,-1.58818677610181E-22,1.2613368980857E-07,-2.21052017608903E-22,1.42001254848891E-06,0,0,0,0,0,0,package://agv/meshes/rlc_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agv/meshes/rlc_link.STL,,supportwheel-3,Origin_rlc_joint2,Axis_rlc_joint2,rlc_joint,continuous,-0.325,0.15,0,1.5707963267949,0,-1.03857643916073,base_link,0,1,0,,,,,,,,,,,,0
rlw_link,5.55111512312578E-17,2.77555756156289E-17,5.55111512312578E-17,0,0,0,0.00384530940799391,2.51867766223601E-07,5.29395592033938E-23,3.37489689921635E-22,2.51867766223601E-07,2.84550130718242E-22,4.80663675999239E-07,0,0,0,0,0,0,package://agv/meshes/rlw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/rlw_link.STL,,supwheel-3,Origin_rlw_joint,Axis_rlw_joint,rlw_joint,continuous,0,-0.0300000000000003,0,-3.14159265358979,0,0.637762511071717,rlc_link,0,0,1,,,,,,,,,,,,0
rrc_link,0,-0.0104639072674438,0,0,0,0,0.00737117883440487,1.43643640511466E-06,-3.97763393383722E-22,1.58818677610181E-22,1.26133689808569E-07,-1.05058384208789E-22,1.4200125484889E-06,0,0,0,0,0,0,package://agv/meshes/rrc_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://agv/meshes/rrc_link.STL,,supportwheel-2,Origin_rrc_joint,Axis_rrc_joint,rrc_joint,continuous,-0.324999999999998,-0.15,0,1.5707963267949,0,-2.04580309292895,base_link,0,1,0,,,,,,,,,,,,0
rrw_link,-5.55111512312578E-17,1.05124242644195E-15,2.77555756156289E-17,0,0,0,0.00384530940799392,2.51867766223602E-07,-4.96308367531817E-24,-7.94093388050907E-23,2.51867766223602E-07,4.17726209339279E-22,4.8066367599924E-07,0,0,0,0,0,0,package://agv/meshes/rrw_link.STL,1,1,1,1,0,0,0,0,0,0,package://agv/meshes/rrw_link.STL,,supwheel-2,Origin_rrw_joint,Axis_rrw_joint,rrw_joint,continuous,0,-0.03,0,0,0,-0.13755116916335,rrc_link,0,0,1,,,,,,,,,,,,0
